Id,SalePrice
1461,145653.6733957325
1462,157767.29079646704
1463,175049.00976872776
1464,183976.55976202158
1465,207879.00744682644
1466,173947.53139492415
1467,166991.12646055623
1468,171438.50869558012
1469,179750.68395106096
1470,148530.34521109692
1471,196919.54583234794
1472,137869.0273195822
1473,136654.8069642134
1474,172966.95796649496
1475,169504.89742232402
1476,309624.2880000124
1477,226499.6394752529
1478,266449.3403821628
1479,251648.96166408766
1480,352454.52870164247
1481,264179.4349129652
1482,209868.94146322503
1483,172864.43580262313
1484,181130.88320371872
1485,176607.90782070285
1486,193196.16861488044
1487,271478.18646314816
1488,226499.6394752529
1489,183965.40670287533
1490,184665.94618522914
1491,187341.2616270828
1492,136355.85229271647
1493,174270.81281165034
1494,263614.7039802583
1495,260992.39393977856
1496,203226.40723160128
1497,187625.31909514556
1498,176607.90782070285
1499,176607.90782070285
1500,158848.6658409766
1501,175603.13512379734
1502,176607.90782070285
1503,232004.16156318312
1504,215993.72320032964
1505,193328.13152017017
1506,180807.8458107416
1507,197061.74414369676
1508,185636.1129586561
1509,173267.27464512322
1510,160809.9707124929
1511,160809.9707124929
1512,173730.43695188168
1513,166580.89304181258
1514,164269.08985880137
1515,169839.83206433282
1516,171269.69182616923
1517,152330.42941514004
1518,157045.9784388951
1519,204186.04016551503
1520,155697.75211452015
1521,157776.20455911467
1522,170114.4599858453
1523,140198.4734157049
1524,143149.283889512
1525,146074.83379709892
1526,147783.50590130212
1527,134408.01493442623
1528,145450.52625064726
1529,157757.56556661113
1530,170907.4816356864
1531,150968.7162031351
1532,143425.6454932943
1533,152985.79102206088
1534,141211.8759447139
1535,165678.8342937087
1536,144794.789590414
1537,132414.88740334907
1538,207879.00744682644
1539,245960.45498122124
1540,151365.01409351546
1541,160392.80303661292
1542,157346.01108709074
1543,207000.0830386295
1544,132428.9503835823
1545,136739.46637733246
1546,145299.7009767426
1547,157163.68014847575
1548,154516.91372205046
1549,140120.60746773367
1550,160714.53561129895
1551,150193.66703922092
1552,152973.7993189038
1553,160777.47521580607
1554,138862.2069454118
1555,163959.72484430426
1556,136251.50062346342
1557,155371.9015528091
1558,134135.07962417568
1559,149043.380347098
1560,163486.10362266938
1561,158366.53682799076
1562,143481.15719230968
1563,145614.7979372994
1564,162940.49822245588
1565,160686.650401147
1566,197942.20846436248
1567,131468.47532356958
1568,195222.6520470865
1569,168043.89902229028
1570,142568.83321215026
1571,154037.44371677298
1572,157508.98106297938
1573,206431.1903064115
1574,155286.22724316112
1575,200238.23855512604
1576,190853.87499250492
1577,183965.40670287533
1578,161792.5365940678
1579,150092.40454421227
1580,179731.31710475098
1581,150753.9210276803
1582,147903.8436224278
1583,289618.5621806402
1584,214814.11910168835
1585,155885.10112597112
1586,128159.89446468331
1587,136324.08855513
1588,156215.76698900963
1589,134361.2160861647
1590,150798.37072280768
1591,139668.3017578219
1592,151775.8331754566
1593,149639.74243742388
1594,149579.37358315953
1595,153882.50395154653
1596,206651.59690263504
1597,166538.23239739065
1598,188973.6951533872
1599,211121.05757349156
1600,207879.00744682644
1601,134716.0678229143
1602,139486.18415962
1603,136266.07855525328
1604,230170.46931992556
1605,226499.6394752529
1606,167448.17156929063
1607,175343.3061029814
1608,195195.64752311874
1609,182214.8825341204
1610,164066.27120807677
1611,155385.90247144416
1612,169906.0947921127
1613,159602.0422485685
1614,147158.94953675562
1615,134658.71191581996
1616,133095.9147852141
1617,134658.71191581996
1618,145614.7979372994
1619,147988.05303766544
1620,160350.80414089834
1621,147859.35333236822
1622,164274.46367232845
1623,246039.3172573961
1624,192638.76311738283
1625,148519.26269431307
1626,175370.3076574134
1627,177184.21938028958
1628,258916.50769653337
1629,179731.31710475098
1630,273320.72733262455
1631,209120.08360075054
1632,227963.9425686542
1633,175886.69995556053
1634,177889.25986517966
1635,181549.51867205804
1636,167112.55539524142
1637,168635.94514276157
1638,208256.3813211502
1639,177718.6799193248
